"","Stress","SO2","O3","Forrest","William","log_William"
"1","Well-watered",0,0.02,4376,5561,8.62353322718756
"2","Well-watered",0,0.05,4544,5947,8.69064216970659
"3","Well-watered",0,0.07,2806,4273,8.36007143564403
"4","Well-watered",0,0.08,3339,3470,8.15190987294091
"5","Well-watered",0,0.1,3320,3080,8.03268487596762
"6","Well-watered",0.02,0.02,3747,5092,8.5354259596773
"7","Well-watered",0.02,0.05,4570,4752,8.46632086104248
"8","Well-watered",0.02,0.07,4635,4232,8.35042997353814
"9","Well-watered",0.02,0.08,3613,2867,7.96102146588337
"10","Well-watered",0.02,0.1,3259,3106,8.04109100370863
"11","Well-watered",0.06,0.02,4179,4736,8.46294817656384
"12","Well-watered",0.06,0.05,5077,3672,8.20849175174038
"13","Well-watered",0.06,0.07,3401,3386,8.12740456269308
"14","Well-watered",0.06,0.08,3371,2854,7.95647679803678
"15","Well-watered",0.06,0.1,2158,2557,7.84658997529119
"16","Stressed",0,0.02,4977,4520,8.41626727282628
"17","Stressed",0,0.05,3780,3047,8.02191277898571
"18","Stressed",0,0.07,3804,3526,8.16791936295782
"19","Stressed",0,0.08,3941,3357,8.11880299698004
"20","Stressed",0,0.1,2863,2663,7.88720858581393
"21","Stressed",0.02,0.02,5573,4869,8.4906438561827
"22","Stressed",0.02,0.05,3555,3774,8.2358907259285
"23","Stressed",0.02,0.07,3340,2955,7.9912539298402
"24","Stressed",0.02,0.08,3243,3513,8.16422565226583
"25","Stressed",0.02,0.1,2802,2838,7.95085485771999
"26","Stressed",0.06,0.02,4589,4056,8.30795254527102
"27","Stressed",0.06,0.05,3250,2758,7.92226105835325
"28","Stressed",0.06,0.07,3045,3094,8.03722003113301
"29","Stressed",0.06,0.08,2827,2398,7.78239033558746
"30","Stressed",0.06,0.1,2979,2101,7.650168700845
